model_id,name,sheets,difficulty,difficulty_num,category
ICX001,Eiffel Tower (ICONX),2.5,Challenging,7,Architecture
ICX002,Big Ben (ICONX),3,Challenging,7,Architecture
ICX003,Statue of Liberty (ICONX),3,Challenging,7,Architecture
ICX004,Colosseum (ICONX),3.5,Challenging,7,Architecture
ICX005,Sagrada Familia (ICONX),3.5,Expert,9,Architecture
ICX006,Notre Dame Cathedral (ICONX),3.5,Expert,9,Architecture
ICX007,Taj Mahal (ICONX),3,Challenging,7,Architecture
ICX008,Burj Khalifa (ICONX),3,Challenging,7,Architecture
ICX009,Sydney Opera House (ICONX),3.5,Expert,9,Architecture
ICX010,Neuschwanstein Castle (ICONX),4,Expert,9,Architecture
ICX011,Westminster Abbey (ICONX),3.5,Expert,9,Architecture
ICX012,St. Basil's Cathedral (ICONX),3,Expert,9,Architecture
ICX013,Empire State Building (ICONX),2.5,Challenging,7,Architecture
ICX014,Space Needle (ICONX),2.5,Challenging,7,Architecture
ICX015,CN Tower (ICONX),3,Challenging,7,Architecture
ICX016,Chrysler Building (ICONX),3,Challenging,7,Architecture
ICX017,One World Trade Center (ICONX),3,Challenging,7,Architecture
ICX018,Golden Gate Bridge (ICONX),4,Expert,9,Architecture
ICX019,Brooklyn Bridge (ICONX),4,Expert,9,Architecture
ICX020,Millennium Falcon (ICONX),5,Expert,9,Star Wars
ICX021,X-Wing (ICONX),3.5,Expert,9,Star Wars
ICX022,AT-AT Walker (ICONX),3.5,Expert,9,Star Wars
ICX023,TIE Fighter (ICONX),3,Challenging,7,Star Wars
ICX024,Death Star (ICONX),4,Expert,9,Star Wars
ICX025,Imperial Star Destroyer (ICONX),5,Expert,9,Star Wars
ICX026,Iron Man (ICONX),3.5,Expert,9,Marvel
ICX027,Hulkbuster (ICONX),4,Expert,9,Marvel
ICX028,Hogwarts Castle (ICONX),5,Expert,9,Harry Potter
ICX029,Rivendell (ICONX),4.5,Expert,9,LOTR
ICX030,USS Enterprise (ICONX),4,Expert,9,Ships
ICX031,Titanic (ICONX),4,Expert,9,Ships
ICX032,Saturn V (ICONX),4,Expert,9,Space
ICX033,International Space Station (ICONX),4,Expert,9,Space
ME1007,Great Sphinx of Giza,3,Moderate,5,Architecture
ME1012,Mitsubishi Zero,2,Moderate,5,Aviation
ME1013,Consolidated PBY Catalina,3,Moderate,5,Aviation
ME1014,Giraffe,3,Moderate,5,Wildlife
ME1015,F-86 Sabre,3,Moderate,5,Aviation
ME1016,F-22 Raptor,3,Moderate,5,Aviation
ME1017,Brachiosaurus,3,Moderate,5,Dinosaurs
ME1021,Steampunk Butterfly,1.5,Moderate,5,Mythical & Fantasy
ME1026,1970 Chevy Chevelle,3.5,Challenging,7,Vehicles
ME1027,1969 Pontiac GTO Judge,3.5,Moderate,5,Vehicles
ME1028,Grand Piano,2,Challenging,7,Musical
ME1033,Grasshopper,1,Moderate,5,Wildlife
ME1034,Lockheed SR-71 Blackbird,2.5,Moderate,5,Aviation
ME1036,Trumpet,1,Moderate,5,Musical
ME1037,B-52 Stratofortress,3.25,Challenging,7,Aviation
ME1038,Black Widow Spider,1.5,Moderate,5,Wildlife
ME1039,Bell X-1,3,Moderate,5,Aviation
ME1040,MiG-15,3,Moderate,5,Aviation
ME1041,Emperor Penguin,2.5,Moderate,5,Wildlife
ME1042,Hockey Goalie,3,Challenging,7,Sports & Hobbies
ME1043,African Elephant,3,Moderate,5,Wildlife
ME1044,Clownfish,2,Moderate,5,Wildlife
ME1045,Orca,3,Moderate,5,Wildlife
ME1046,F-16 Fighting Falcon - USAF,3,Moderate,5,Aviation
ME1046B,F-16 Fighting Falcon - Belgian Air Force,3,Moderate,5,Aviation
ME1046N,F-16 Fighting Falcon - Royal Netherlands Air Force,3,Moderate,5,Aviation
ME1046U,F-16 Fighting Falcon - Ukrainian Air Force,3,Moderate,5,Aviation
ME1047,C-130 Hercules,3.5,Moderate,5,Aviation
ME1048,1967 Chevy Impala,3.5,Moderate,5,Vehicles
ME1049,Fairchild F-27,3,Moderate,5,Aviation
ME1050,Christmas Sleigh,1.5,Moderate,5,Seasonal
ME1051,Falcon 9,3,Moderate,5,Space
ME1052,1968 Z/28 Camaro,3.5,Moderate,5,Vehicles
ME1054,Steampunk Dragonfly,2,Moderate,5,Mythical & Fantasy
ME1057,Red Rose,2.25,Moderate,5,Wildlife
ME1058,Classical Guitar,1.5,Moderate,5,Musical
MMS001,Space Shuttle,2,Challenging,7,Space
MMS002,VW Beetle,1,Easy,2,Vehicles
MMS003,Eiffel Tower,1.5,Moderate,5,Architecture
MMS004,Taj Mahal,1,Moderate,5,Architecture
MMS005,Statue of Liberty,1,Easy,2,Architecture
MMS006,Colosseum,1,Moderate,5,Architecture
MMS007,Big Ben,1,Moderate,5,Architecture
MMS008,Empire State Building,1,Easy,2,Architecture
MMS009,White House,1,Easy,2,Architecture
MMS010,US Capitol Building,1,Moderate,5,Architecture
MMS011,Lincoln Memorial,1,Easy,2,Architecture
MMS012,Washington Monument,1,Easy,2,Architecture
MMS013,Chrysler Building,1,Moderate,5,Architecture
MMS014,Flatiron Building,1,Moderate,5,Architecture
MMS015,St. Basil's Cathedral,1,Challenging,7,Architecture
MMS016,Sagrada Familia,1.5,Challenging,7,Architecture
MMS017,Notre Dame Cathedral,1.5,Challenging,7,Architecture
MMS018,Arc de Triomphe,1,Easy,2,Architecture
MMS019,Leaning Tower of Pisa,1,Easy,2,Architecture
MMS020,Parthenon,1,Moderate,5,Architecture
MMS021,Hagia Sophia,1,Moderate,5,Architecture
MMS022,Neuschwanstein Castle,1.5,Moderate,5,Architecture
MMS023,Tower of London,1.5,Moderate,5,Architecture
MMS024,Edinburgh Castle,1,Moderate,5,Architecture
MMS025,Alhambra,1,Moderate,5,Architecture
MMS026,Cologne Cathedral,1.5,Moderate,5,Architecture
MMS027,Boeing 747,1,Moderate,5,Aviation
MMS028,Space Shuttle,2,Challenging,7,Aviation
MMS029,International Space Station,2,Challenging,7,Space
MMS030,Sydney Opera House,1,Moderate,5,Architecture
MMS031,Burj Al Arab,1,Moderate,5,Architecture
MMS032,Burj Khalifa,1.5,Moderate,5,Architecture
MMS033,CN Tower,1,Moderate,5,Architecture
MMS034,Petronas Towers,1,Moderate,5,Architecture
MMS035,Willis Tower (Sears Tower),1,Moderate,5,Architecture
MMS036,One World Trade Center,1,Moderate,5,Architecture
MMS037,Bank of China Tower,1,Moderate,5,Architecture
MMS038,Fallingwater,1.5,Challenging,7,Architecture
MMS039,Guggenheim Museum Bilbao,1,Challenging,7,Architecture
MMS040,Bi-Plane,1,Easy,2,Aviation
MMS041,1960s Shelby Cobra,1,Moderate,5,Vehicles
MMS042,1966 Batmobile,1,Moderate,5,Vehicles
MMS043,1957 Chevy Bel Air,1,Easy,2,Vehicles
MMS044,1965 Mustang,1,Easy,2,Vehicles
MMS045,1963 Corvette Sting Ray,1,Moderate,5,Vehicles
MMS046,1967 Shelby GT-500,1,Moderate,5,Vehicles
MMS047,Bald Eagle,1,Moderate,5,Wildlife
MMS048,Dolphin,1,Easy,2,Wildlife
MMS049,Great White Shark,1,Moderate,5,Wildlife
MMS050,T-Rex,1,Moderate,5,Wildlife
MMS051,Triceratops,1,Moderate,5,Wildlife
MMS052,Wolf,1,Moderate,5,Wildlife
MMS053,Horse,1,Moderate,5,Wildlife
MMS054,Lion,1,Moderate,5,Wildlife
MMS055,Tiger,1,Moderate,5,Wildlife
MMS056,Gorilla,1,Moderate,5,Wildlife
MMS057,Polar Bear,1,Moderate,5,Wildlife
MMS058,Panda Bear,1,Moderate,5,Wildlife
MMS059,Koala,1,Easy,2,Wildlife
MMS060,Kangaroo,1,Easy,2,Wildlife
MMS061,Peacock,1.5,Moderate,5,Wildlife
MMS062,Flamingo,1,Easy,2,Wildlife
MMS063,Boeing 787 Dreamliner,1,Moderate,5,Aviation
MMS064,Wright Brothers Airplane - Color,1,Easy,2,Aviation
MMS065,Sopwith Camel F.1,1,Moderate,5,Aviation
